"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Continuous Uniform",50,0.501008810166662,0.0404258529179351,0.5,0.0408248290463863,0.0010088101666621,0.990227120657434,0.0106450114352175,-0.0454003311709545,0.999913137732979,0.0131797057799173,TRUE,TRUE
"Continuous Uniform",75,0.500296533235019,0.0335974420399127,0.5,0.0333333333333333,0.00029653323501877,1.00792326119738,-0.00206250318072071,0.0172365226180982,0.999901957851728,0.0140022074769313,TRUE,TRUE
"Continuous Uniform",100,0.499912534795787,0.0290596200795742,0.5,0.0288675134594813,-8.74652042126001e-05,1.00665476852942,-0.0018769300888955,-0.0536178158362954,0.99984964328471,0.0173400927338361,TRUE,TRUE
"Continuous Uniform",150,0.49994047432467,0.0239455500895786,0.5,0.0235702260395516,-5.95256753301299e-05,1.01592365085499,0.0175841631719812,0.00448877485522692,0.99991652179497,0.0129204220230431,TRUE,TRUE
"Continuous Uniform",200,0.499880140468443,0.0206161418463394,0.5,0.0204124145231931,-0.000119859531557187,1.00998055976743,0.0336059490015754,-0.0299455851194939,0.999916198082447,0.0129454492088972,TRUE,TRUE
"Continuous Uniform",300,0.499934805111238,0.0166709546500833,0.5,0.0166666666666667,-6.51948887617215e-05,1.000257279005,0.00423020871338544,-0.0269294182497468,0.999940034355935,0.0109506911251225,TRUE,FALSE
"Continuous Uniform",500,0.499994716921765,0.0129148373522811,0.5,0.0129099444873581,-5.28307823505214e-06,1.00037899968724,0.0207256708321725,0.0270006151570006,0.999924045154072,0.0123244607097948,TRUE,FALSE
"Six-Sided Die",2,3.5018,1.21391685028759,3.5,1.20761472884912,0.00179999999999936,1.00521865234657,0.0172728410942305,-0.618906757064371,0.98748459048186,0.158202139203185,FALSE,FALSE
"Six-Sided Die",5,3.48818,0.768816880368481,3.5,0.763762615825973,-0.0118199999999997,1.00661758567096,-0.011109535629113,-0.249000332604412,0.996680100533009,0.0814802385392905,FALSE,FALSE
"Six-Sided Die",10,3.49236,0.546744477203328,3.5,0.540061724867322,-0.00763999999999987,1.01237405286895,-0.00521605780521792,-0.125952926677718,0.998439892177811,0.0558556541013218,TRUE,TRUE
"Six-Sided Die",15,3.49620666666667,0.442667526942624,3.5,0.440958551844098,-0.00379333333333332,1.003875591235,-0.0241683004922791,-0.195075952875209,0.998759546111172,0.0498058265588428,TRUE,TRUE
"Six-Sided Die",20,3.498115,0.385593133991641,3.5,0.381881307912987,-0.00188500000000014,1.00971984226968,-0.00725012160027513,-0.0950392962633035,0.999120285583339,0.0419431171210396,TRUE,TRUE
"Six-Sided Die",30,3.49974666666667,0.314328268682151,3.5,0.311804782231162,-0.000253333333333217,1.00809316147409,-0.0187593801935271,-0.0409963197789747,0.999436016926568,0.033583263814153,TRUE,TRUE
"Six-Sided Die",40,3.498205,0.270345772407612,3.5,0.270030862433661,-0.00179499999999999,1.00116619993401,-0.00177060865764938,-0.00208126474506631,0.999442741374061,0.0333824545666717,TRUE,TRUE
"Six-Sided Die",50,3.496238,0.244201578203499,3.5,0.241522945769824,-0.00376200000000004,1.0110905919317,-0.0203285738786206,0.0939670610743581,0.999588882311762,0.0286729888395596,TRUE,TRUE
"Six-Sided Die",75,3.497972,0.199159378655022,3.5,0.197202659436654,-0.00202800000000014,1.00992237743628,0.00845031470843767,0.0346328531932696,0.999751542127702,0.0222903203081637,TRUE,TRUE
"Six-Sided Die",100,3.497707,0.173872583573524,3.5,0.170782512765993,-0.00229299999999988,1.01809360195891,-0.0145266598620386,0.0359850465671605,0.999808805802645,0.0195536265056816,TRUE,TRUE
"Six-Sided Die",150,3.498206,0.141061508487238,3.5,0.139443337755679,-0.00179399999999985,1.01160450371888,0.0141663371633407,0.00325948382927566,0.999840412403772,0.0178644461757154,TRUE,TRUE
"Six-Sided Die",200,3.498607,0.122569069787964,3.5,0.120761472884912,-0.0013930000000002,1.01496832441564,-0.0122664773607695,-0.0314816714047321,0.99985809816024,0.0168455046152399,TRUE,TRUE
"Six-Sided Die",300,3.499161,0.0994275459061046,3.5,0.0986013297183269,-0.000839000000000034,1.00837936151711,-0.00716273171603853,-0.0851620635193973,0.999855999510599,0.0169696151490841,TRUE,FALSE
